Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor_Hacmi,Motor_Gucu,Çekiş,Ort_Yakit_Tuketimi,Yakit_Deposu,Hizlanma_0_100_Sn,Agirlik,Silindir_Sayisi
1475000.0,18 Kasım 2023,Honda,Civic,1.5 i-VTEC Eco Executive Plus,2023,6100.0,Otomatik,Benzin,Sedan,Mavi,1498,129,Önden Çekiş,6.5,47,248,2050,4.0
610000.0,18 Kasım 2023,Volkswagen,Passat,1.6 FSi Comfortline,2008,210000.0,Düz,Benzin,Sedan,Lacivert,1598,115,Önden Çekiş,7.5,70,180,1548,4.0
715000.0,18 Kasım 2023,Fiat,Egea,1.4 Fire Urban Plus,2020,69000.0,Düz,Benzin,Sedan,Beyaz,1368,95,Önden Çekiş,5.7,45,180,1548,4.0
620000.0,17 Kasım 2023,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2012,199000.0,Otomatik,Dizel,Sedan,Füme,1582,128,Önden Çekiş,5.6,43,200,1798,4.0
618000.0,17 Kasım 2023,Citroen,C-Elysee,1.5 BlueHDi Shine,2021,101000.0,Düz,Dizel,Sedan,Beyaz,1499,100,Önden Çekiş,3.9,50,185,1675,4.0
460000.0,17 Kasım 2023,Renault,Fluence,1.5 dCi Extreme,2011,254000.0,Yarı Otomatik,Dizel,Sedan,Füme,1461,110,Önden Çekiş,4.4,60,163,1545,4.0
1265000.0,17 Kasım 2023,Mercedes - Benz,CLA,180 D Comfort,2017,88000.0,Otomatik,Dizel,Sedan,Beyaz,1461,109,Önden Çekiş,3.8,50,188,1810,4.0
455000.0,17 Kasım 2023,Renault,Scenic,1.6 Expression,2008,217000.0,Düz,LPG & Benzin,MPV,Füme,1598,115,Önden Çekiş,7.2,60,190,1650,4.0
799000.0,17 Kasım 2023,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2013,194000.0,Düz,Benzin,Sedan,Siyah,1390,122,Önden Çekiş,5.9,70,189,1590,4.0
965000.0,17 Kasım 2023,Honda,Civic,1.6 i-VTEC Elegance,2017,120000.0,Otomatik,LPG & Benzin,Sedan,Siyah,1597,125,Önden Çekiş,6.7,47,185,1814,4.0
