Fiyat,Marka,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor_Hacmi,Motor_Gucu,Çekiş,Ort_Yakit_Tuketimi,Yakit_Deposu,Agirlik,Silindir_Sayisi,Maksimum Hız
1475000.0,Honda,2023,6100.0,Otomatik,Benzin,Sedan,Mavi,1498,129,Önden Çekiş,6.5,47,2050,4.0,248
610000.0,Volkswagen,2008,210000.0,Düz,Benzin,Sedan,Lacivert,1598,115,Önden Çekiş,7.5,70,1548,4.0,180
715000.0,Fiat,2020,69000.0,Düz,Benzin,Sedan,Beyaz,1368,95,Önden Çekiş,5.7,45,1548,4.0,180
620000.0,Hyundai,2012,199000.0,Otomatik,Dizel,Sedan,Füme,1582,128,Önden Çekiş,5.6,43,1798,4.0,200
618000.0,Citroen,2021,101000.0,Düz,Dizel,Sedan,Beyaz,1499,100,Önden Çekiş,3.9,50,1675,4.0,185
460000.0,Renault,2011,254000.0,Yarı Otomatik,Dizel,Sedan,Füme,1461,110,Önden Çekiş,4.4,60,1545,4.0,163
1265000.0,Mercedes - Benz,2017,88000.0,Otomatik,Dizel,Sedan,Beyaz,1461,109,Önden Çekiş,3.8,50,1810,4.0,188
455000.0,Renault,2008,217000.0,Düz,LPG & Benzin,MPV,Füme,1598,115,Önden Çekiş,7.2,60,1650,4.0,190
799000.0,Volkswagen,2013,194000.0,Düz,Benzin,Sedan,Siyah,1390,122,Önden Çekiş,5.9,70,1590,4.0,189
965000.0,Honda,2017,120000.0,Otomatik,LPG & Benzin,Sedan,Siyah,1597,125,Önden Çekiş,6.7,47,1814,4.0,185
607000.0,Toyota,2012,66000.0,Düz,Dizel,Hatchback/5,Füme,1364,90,Önden Çekiş,5.0,55,1955,4.0,205
559000.0,Fiat,2021,101000.0,Düz,Benzin,Sedan,Beyaz,1368,95,Önden Çekiş,6.4,45,2000,4.0,205
1243000.0,Audi,2016,119000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1598,110,Önden Çekiş,3.7,50,1749,4.0,175
555000.0,Renault,2011,198000.0,Düz,Dizel,Sedan,Siyah,1461,110,Önden Çekiş,5.0,66,1642,4.0,195
707500.0,Renault,2017,99000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,1675,4.0,186
310000.0,Fiat,2006,289000.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1370,95,Önden Çekiş,6.7,58,2020,4.0,182
287000.0,Opel,2000,235000.0,Düz,Benzin,Hatchback/5,Gri (Gümüş),1199,65,Önden Çekiş,6.5,42,1555,4.0,180
855000.0,Volkswagen,2016,113000.0,Yarı Otomatik,Benzin,Sedan,Beyaz,1395,125,Önden Çekiş,5.0,55,1555,4.0,180
310000.0,Renault,2013,249000.0,Düz,Dizel,Sedan,Beyaz,1461,90,Önden Çekiş,3.9,50,1740,4.0,212
605000.0,Kia,2016,144000.0,Düz,Dizel,Hatchback/5,Beyaz,1396,90,Önden Çekiş,3.9,43,1370,4.0,163
715000.0,Renault,2018,168000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,1870,4.0,206
1075000.0,Skoda,2018,135000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,110,Önden Çekiş,3.7,50,1609,4.0,167
735000.0,Honda,2010,164000.0,Düz,LPG & Benzin,Sedan,Bej,1595,125,Önden Çekiş,6.7,50,1855,4.0,197
639000.0,Renault,2017,149000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,1690,4.0,172
699000.0,Dacia,2017,86000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.8,50,1708,4.0,176
272000.0,Hyundai,2006,226000.0,Düz,Dizel,Sedan,Beyaz,1493,82,Önden Çekiş,5.5,45,1693,4.0,197
615000.0,Volkswagen,2013,132000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,90,Önden Çekiş,4.3,45,1708,4.0,176
380000.0,Renault,2010,225000.0,Düz,Dizel,Sedan,Gri (Gümüş),1461,85,Önden Çekiş,4.3,50,1620,4.0,166
850000.0,Ford,2018,115000.0,Otomatik,Dizel,Bilinmiyor,Diğer,1500,120,Önden Çekiş,4.3,47,1535,4.0,177
1180000.0,Volvo,2017,68000.0,Otomatik,Benzin,Sedan,Beyaz,1498,152,Önden Çekiş,5.8,67,1660,4.0,170
435000.0,Renault,2009,153000.0,Düz,LPG & Benzin,Sedan,Gri,1390,75,Önden Çekiş,7.1,50,1850,4.0,194
349500.0,Honda,2004,238000.0,Düz,LPG & Benzin,Hatchback/5,Mavi,1339,83,Önden Çekiş,5.8,42,2245,4.0,243
705000.0,Renault,2016,145000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,1489,4.0,170
570000.0,Volkswagen,2007,350000.0,Düz,Benzin,Sedan,Siyah,1598,115,Önden Çekiş,6.9,55,1470,4.0,170
